name	label	label-fr	schema	dc-element	dc-qualifier	type	legacy_marc	obligation	repeatable	range_label	range_url	range_values	configuration	indexes	definition
oaire_citation_conferenceDate	Event date	Date de début	oaire	citation	conferenceDate	descriptive	7112_d	recommended	false	String			researchoutputs	oaire.citation.conferenceDate	Description coming soon...
oaire_citation_conferencePlace	Event place	Lieu de l'événement	oaire	citation	conferencePlace	descriptive	7112_c	recommended	false	String			researchoutputs	oaire.citation.conferencePlace	Description coming soon...
crisfund_award_uri	Grant URL	URL du grant	crisfund	award	uri	descriptive		optional	false	URI			researchoutputs	crisfund.award.uri	Description coming soon...
dc_relation_funding	Grant name	Nom du grant	dc	relation	funding	descriptive		optional	true	String or OpenAIRE registry			researchoutputs	dc.relation.funding	Description coming soon...
dc_relation_grantno	Grant number	Numéro du grant	dc	relation	grantno	descriptive	536__c	recommended	true	String			researchoutputs	dc.relation.grantno	Description coming soon...
oairecerif_funder	Funder	Financeur	oairecerif	funder		descriptive	536__a	recommended	true	String or ROR registry	https://ror.org/		researchoutputs	fundername, oairecerif.funder	Description coming soon...
datacite_relatedIdentifier	Related work URI or DOI	Ressource liée	datacite	relatedIdentifier		descriptive	787__w, 790__w	optional	true	URI			researchoutputs	datacite.relatedIdentifier	Description coming soon...
datacite_relationType	Relation type	Type de relation	datacite	relationType		descriptive	787__e, 790__2	optional	true	List (epfl_relation_type)		IsCitedBy,Cites,IsSupplementTo,IsSupplementedBy,IsContinuedBy,Continues,IsDescribedBy,Describes,HasMetadata,IsMetadataFor,HasVersion,IsVersionOf,IsNewVersionOf,IsPreviousVersionOf,IsPartOf,HasPart,IsReferencedBy,References,IsDocumentedBy,Documents,IsCompiledBy,Compiles,IsVariantFormOf,IsOriginalFormOf,IsIdenticalTo,IsReviewedBy,Reviews,IsDerivedFrom,IsSourceOf,IsRequiredBy,Requires,IsPublishedIn	researchoutputs	datacite.relationType	Description coming soon...
dc_relation_title	Related title	Titre de la ressource liée	dc	relation	title	descriptive		optional	true	String or Item authority			researchoutputs	dc.relation.title	Description coming soon...
epfl_award	Award(s)	Prix	epfl	award		descriptive	586__a	optional	true	String			researchoutputs	epfl.award	Description coming soon...
epfl_award_date	Award date	Date du prix ou de la récompense	epfl	award	date	descriptive	586__b	optional	true	String			researchoutputs	epfl.award.date	Description coming soon...
dc_description	File description	Description du fichier	dc	description		descriptive	8564_y	optional	false	String			researchoutputs	dc.description	Description coming soon...
dspace_file_type	File type	Type de fichier	dspace	file	type	descriptive	8564_0	Required	false	List (bitstream_types)		main document,main dataset,supplementary material/Information,presentation,video recording,audio recording,poster,figures,source code,readme,raw data,anonymized data,processed data,figures,thumbnail,other	researchoutputs	dspace.file.type	Description coming soon...
oaire_licenseCondition	File License	Licence	oaire	licenseCondition (file level)		descriptive	8564_1	Required	false	List (licenses)		N/A,CC BY,CC BY-SA,CC BY-ND,CC BY-NC,CC BY-NC-SA,CC BY-NC-ND,CC0,PDM,ODbL,ODC-By,PDDL,MIT,Apache,BSD 3-Clause,GNU GPLv3,GNU LGPLv3,GNU AGPLv3	researchoutputs	oaire.licenseCondition (file level)	Description coming soon...
oaire_version	File version	Version du fichier	oaire	version		descriptive	8564_0, 8564_z	Required	false	List (coar_versions)	https://vocabularies.coar-repositories.org/version_types/	Submitted version (Preprint),Accepted version,Published version,Corrected Version ,Not Applicable (or Unknown)	researchoutputs	oaire.version	Description coming soon...
